Period,Value
1st Quarter-2011,14502
2nd Quarter-2011,14236
3rd Quarter-2011,13900
4th Quarter-2011,13367
1st Quarter-2012,13216
2nd Quarter-2012,12988
3rd Quarter-2012,12860
4th Quarter-2012,12964
1st Quarter-2013,13032
2nd Quarter-2013,13191
3rd Quarter-2013,13525
4th Quarter-2013,13838
1st Quarter-2014,13939
2nd Quarter-2014,14136
3rd Quarter-2014,14219
4th Quarter-2014,14195
1st Quarter-2015,14781
2nd Quarter-2015,15082
3rd Quarter-2015,15266
4th Quarter-2015,15575
1st Quarter-2016,15659
2nd Quarter-2016,15840
3rd Quarter-2016,16151
4th Quarter-2016,16108
1st Quarter-2017,16344
2nd Quarter-2017,16149
3rd Quarter-2017,16231
4th Quarter-2017,16315
1st Quarter-2018,16834
2nd Quarter-2018,17097
3rd Quarter-2018,17953
4th Quarter-2018,18196
1st Quarter-2019,18332
2nd Quarter-2019,18393
3rd Quarter-2019,18239
4th Quarter-2019,18567
1st Quarter-2020,18856
2nd Quarter-2020,18695
3rd Quarter-2020,18964
4th Quarter-2020,19344
1st Quarter-2021,19580
2nd Quarter-2021,20271
3rd Quarter-2021,20497
4th Quarter-2021,20785
